"uid","firstname","lastname","region","departement","circonscription","profession","group","group_short"
"306497","STEFANO","VACCARI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","EMILIA-ROMAGNA - P02","Diploma di istituto tecnico industriale; Dirigente di azienda privata","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306139","NICOLA","STUMPO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","CALABRIA - P01","Diploma di istituto tecnico per geometri; Funzionario di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306412","MARIA CECILIA","GUERRA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","PIEMONTE 1 - P01","Dottorato di ricerca in economia politica; Professoressa ordinaria di scienza delle finanze","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306395","ROSANNA","FILIPPIN","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","VENETO 2 - P02","Laurea in giurisprudenza; Avvocato","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"306214","LUCA","SQUERI","FORZA ITALIA","proporzionale","LOMBARDIA 3 - P02","Laurea in scienze giuridiche; Imprenditore","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"306379","ISABELLA","DE MONTE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","FRIULI-VENEZIA GIULIA - P01","Laurea in giurisprudenza; Dipendente pubblico","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"306158","GIUSEPPE","CASTIGLIONE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","SICILIA 2 - P02","Diploma di liceo classico; Giornalista","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"306003","FRANCESCO","BONIFAZI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","TOSCANA - P03","Laurea in giurisprudenza, Master in diritto tributario; Avvocato tributarista","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306005","DAVIDE","FARAONE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","SICILIA 1 - P02","Laurea in scienze politiche; Professione non rilevata","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306160","MARIA ELENA","BOSCHI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LAZIO 1 - P03","Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306379","ISABELLA","DE MONTE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","FRIULI-VENEZIA GIULIA - P01","Laurea in giurisprudenza; Dipendente pubblico","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306382","MAURO","DEL BARBA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 4 - P01","Laurea in scienze dell'informazione","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"306521","FILIBERTO","ZARATTI","ALLEANZA VERDI E SINISTRA","proporzionale","LAZIO 1 - P01","Laurea in scienze politiche; Consulente aziendale","MISTO (MISTO) (18.10.2022","MISTO"
"306349","STEFANO","CANDIANI",,,"LOMBARDIA 2 - P01","Diploma di liceo scientifico; IMPRENDITORE PER PACKAGING PER L' INDUSTRIA COSMETICA E PROFUMIERA","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"305931","VINCENZO","AMENDOLA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","BASILICATA - P01",,"PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"36500","PIERO FRANCO","FASSINO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","VENETO 1 - P01","Laurea in scienze politiche; Dirigente di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"35980","LUCIANO","CIOCCHETTI",,,"LAZIO 1 - P03","Diploma di liceo scientifico, Laurea in scienze politiche e delle relazioni internazionali; Giornalista","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"34580","BRUNO","TABACCI",,,"LOMBARDIA 1 - P01","Laurea in economia e commercio","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"39130","GIULIO CARLO DANILO","TREMONTI","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","LOMBARDIA 1 - P02","Laurea in giurisprudenza; Professore ordinario di discipline giuridiche; Avvocato","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"50115","GIANCARLO","GIORGETTI",,,"LOMBARDIA 2 - P02","Laurea in economia aziendale","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"38560","GIANFRANCO","ROTONDI",,,"CAMPANIA 2 - P02","Laurea in giurisprudenza; Giornalista professionista","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"50204","TOMMASO","FOTI",,,"EMILIA-ROMAGNA - P01","Diploma di liceo scientifico; Già dirigente di azienda privata","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307634","DEVIS","DORI","ALLEANZA VERDI E SINISTRA","proporzionale","LOMBARDIA 2 - P02","Laurea in giurisprudenza; Diploma accademico in pianoforte; Avvocato","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS"
"307478","DANIELA","RUFFINO","AZIONE - ITALIA VIVA - CALENDA","proporzionale","PIEMONTE 1 - P01","Diploma di istituto tecnico femminile; Parlamentare","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"307570","ARIANNA","LAZZARINI","LEGA PER SALVINI PREMIER","proporzionale","VENETO 2 - P01","Diploma di istituto tecnico commerciale; Sindaco","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307641","IGOR GIANCARLO","IEZZI","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 1 - P01","Diploma di liceo scientifico; Giornalista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307616","EUGENIO","ZOFFILI","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 2 - P02","Diploma di liceo classico; Consigliere comunale, Giornalista pubblicista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307471","ALESSANDRO MANUEL","BENVENUTO","LEGA PER SALVINI PREMIER","proporzionale","PIEMONTE 1 - P02","Laurea in scienze politiche; Parlamentare; già Consigliere regionale del Piemonte; già Consigliere comunale città di Venaria Reale","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307508","ANDREA","GIACCONE","LEGA PER SALVINI PREMIER","proporzionale","PIEMONTE 2 - P02","Laurea in architettura, Corsi e scritti di specializzazione e approfondimenti; Architetto","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307680","FABRIZIO","CECCHETTI","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 1 - P02","Diploma di liceo scientifico; Imprenditore","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307453","RICCARDO AUGUSTO","MARCHETTI","LEGA PER SALVINI PREMIER","proporzionale","MARCHE - P01","Laurea in scienze per l'investigazione e la sicurezza; Consulente","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307602","PAOLO","FORMENTINI","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 3 - P02","Diploma di liceo classico","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307585","ERIK UMBERTO","PRETTO","LEGA PER SALVINI PREMIER","proporzionale","VENETO 2 - P02","Imprenditore","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307632","GIULIO","CENTEMERO","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 3 - P01","Laurea in economia e commercio, Executive master in management dell'amministrazione pubblica; Commercialista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307983","LUCA","TOCCALINI","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 4 - P01","Laurea in economia e gestione aziendale; Impiegato","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"308221","EMMA","PAVANELLI","MOVIMENTO 5 STELLE","proporzionale","UMBRIA - P01","Parlamentare","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"307564","ANNA LAURA","ORRICO","MOVIMENTO 5 STELLE","proporzionale","CALABRIA - P01","Laurea in scienze politiche; Imprenditore del settore dei servizi","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"307926","GIUSEPPE","CONTE","MOVIMENTO 5 STELLE","proporzionale","LOMBARDIA 1 - P02","Laurea in giurisprudenza; Professore universitario, Avvocato","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"307459","ILARIA","FONTANA","MOVIMENTO 5 STELLE","proporzionale","LAZIO 2 - P02","Laurea in scienze biologiche; Sottosegretario al Ministero della transizione ecologica (dal 01/03/2021)","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"307452","EMANUELE","PRISCO","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","UMBRIA - P01","Laurea in giurisprudenza; Funzionario","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307463","FRANCESCO","LOLLOBRIGIDA","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","LAZIO 2 - P02","Laurea in giurisprudenza","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307481","CLAUDIO","MANCINI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LAZIO 1 - P03","Diploma di liceo classico; Quadro intermedio","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"307561","PIERO","DE LUCA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","CAMPANIA 2 - P02","Dottorato di ricerca in diritto ed economia - Diplome d'etudes specialisées; Avvocato; Professore di seconda fascia","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"307580","PIERGIORGIO","CORTELAZZO","FORZA ITALIA","proporzionale","VENETO 1 - P01","Diploma di istituto tecnico per geometri; Imprenditore","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307604","STEFANO","BENIGNI","FORZA ITALIA","proporzionale","LOMBARDIA 2 - P02","Diploma di liceo scientifico; Consulente finanziario","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307466","PATRIZIA","MARROCCO","FORZA ITALIA","proporzionale","LAZIO 2 - P02","Dirigente di azienda privata","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307634","DEVIS","DORI","ALLEANZA VERDI E SINISTRA","proporzionale","LOMBARDIA 2 - P02","Laurea in giurisprudenza; Diploma accademico in pianoforte; Avvocato","MISTO (MISTO) (18.10.2022","MISTO"
"307603","ALESSANDRO","COLUCCI",,,"PUGLIA - P04","Laurea in economia aziendale","NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP"
"307571","ALBERTO","STEFANI",,,"VENETO 2 - P01","Laurea in giurisprudenza; Consulente legale","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307502","ALESSANDRO","GIGLIO VIGNA",,,"PIEMONTE 1 - P02","Diploma di istituto tecnico commerciale; Imprenditore","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307689","INGRID","BISA",,,"VENETO 1 - P01","Laurea in giurisprudenza; Avvocato","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307686","GIORGIA","ANDREUZZA",,,"VENETO 1 - P01","Laurea in architettura; Architetto","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307143","EDOARDO","ZIELLO",,,"TOSCANA - P03","Laurea in giurisprudenza; Giurista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307591","LORENZO","FONTANA",,,"VENETO 2 - P03","Laurea in scienze politiche, Laurea in storia contemporanea, Laurea in filosofia; Dipendente","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307639","ANDREA","CRIPPA",,,"LOMBARDIA 1 - P02","Laurea in scienze politiche","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307475","ALBERTO LUIGI","GUSMEROLI",,,"PIEMONTE 2 - P01","Laurea in economia indirizzo finanza aziendale e credito; Commercialista e revisore dei conti","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307716","VANESSA","CATTOI",,,"TRENTINO-ALTO ADIGE/SÜDTIROL - P01","Laurea in economia e commercio, Master presso la Trento School of Managment come consulente di impresa tra integrazione dei servizi e telelavoro; Dipendente pubblico","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307688","DIMITRI","COIN",,,"VENETO 1 - P01","Diploma di istituto tecnico agrario; Imprenditore","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307601","SIMONA","BORDONALI",,,"LOMBARDIA 3 - P02","Perito aziendale corrispondente lingue estere; Libero professionista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307630","REBECCA","FRASSINI",,,"LOMBARDIA 3 - P01","Laurea in economia; Dipendente di azienda privata","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307507","RICCARDO","MOLINARI",,,"PIEMONTE 2 - P02","Laurea in giurisprudenza; Libero professionista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307138","VANNIA","GAVA",,,"FRIULI-VENEZIA GIULIA - P01","Parlamentare","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307575","CIRO","MASCHIO",,,"VENETO 2 - P03","Laurea in giurisprudenza; Avvocato","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307455","MAURO","ROTELLI",,,"LAZIO 2 - P01","Laurea in economia aziendale, Laurea in scienze politiche; Responsabile marketing e comunicazione","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307479","ANDREA","DELMASTRO DELLE VEDOVE",,,"PIEMONTE 2 - P01","Laurea in giurisprudenza; Avvocato penalista","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307511","MONICA","CIABURRO",,,"PIEMONTE 2 - P02","DIPLOMA ACCADEMICO DIDATTICA DELLA MUSICA; Insegnante di scuola secondaria inferiore; Sindaco","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307612","MARCO","OSNATO",,,"LOMBARDIA 1 - P02","Laurea in giurisprudenza; Imprenditore","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307457","PAOLO","TRANCASSINI",,,"LAZIO 2 - P01","Laurea in giurisprudenza; Avvocato civilista","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307142","RICCARDO","ZUCCONI",,,"TOSCANA - P01","Diploma di liceo scientifico; Imprenditore","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307573","MARIA CRISTINA","CARETTA",,,"VENETO 2 - P02","Parlamentare","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307464","AUGUSTA","MONTARULI",,,"PIEMONTE 1 - P01","Laurea in giurisprudenza; Avvocato","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307567","WANDA","FERRO",,,"CALABRIA - P01","Laurea in lettere moderne","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"307454","RAFFAELE","NEVI",,,"UMBRIA - P01","Laurea in scienze politiche; Imprenditore agricolo","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307456","ALESSANDRO","BATTILOCCHIO",,,"LAZIO 1 - P03","Laurea in giurisprudenza, Laurea in scienze politiche; Parlamentare","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"308766","TOMMASO ANTONINO","CALDERONE",,,"SICILIA 2 - P01","Laurea in giurisprudenza; Avvocato patrocinante in cassazione","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307678","CRISTINA","ROSSELLO",,,"LOMBARDIA 1 - P01","Laurea in giurisprudenza, Scuola di formazione per Amministratore Giudiziario; Avvocato civilista; Cassazionista; Amministratore Giudiziario","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307657","ALESSANDRO","CATTANEO",,,"LOMBARDIA 4 - P01","Ingegnere; Ingegnere elettronico;","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307659","GLORIA","SACCANI",,,"EMILIA-ROMAGNA - P03","Laurea in medicina e chirurgia, Specializzazione in Anatomia Patologica; Professore ordinario di patologia clinica","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307568","FRANCESCO","CANNIZZARO",,,"CALABRIA - P01","Laurea in scienze sociali per la cooperazione, lo sviluppo e la pace; Imprenditore","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307608","ALESSANDRO","SORTE",,,"LOMBARDIA 3 - P01","Laurea in economia aziendale","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307496","ROBERTO","PELLA",,,"PIEMONTE 1 - P02","DIPLOMA DI RAGIONERIA; Imprenditore del settore tessile","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"308620","ANDREA","GENTILE",,,"CALABRIA - P01","Laurea in giurisprudenza; Avvocato penalista, Docente universitario","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"307603","ALESSANDRO","COLUCCI",,,"PUGLIA - P04","Laurea in economia aziendale","MISTO (MISTO) (18.10.2022","MISTO"
"307531","MICHELE","GUBITOSA","MOVIMENTO 5 STELLE","proporzionale","CAMPANIA 2 - P02",,"MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"307683","ANDREA","DARA",,,"LOMBARDIA 4 - P01",,"LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"308924","NAIKE","GRUPPIONI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","EMILIA-ROMAGNA - P02","Laurea in Economia aziendale e gestione delle imprese internazionali; Imprenditrice del settore metalmeccanico","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"308781","FEDERICA","ONORI","MOVIMENTO 5 STELLE","proporzionale","EUROPA","DOTTORATO DI RICERCA IN SCIENZE STATISTICHE; ASSISTENTE STATISTICA PRESSO LA COMMISSIONE EUROPEA","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"308875","ANTONIO","D'ALESSIO","AZIONE - ITALIA VIVA - CALENDA","proporzionale","CAMPANIA 2 - P02","Laurea in giurisprudenza; Avvocato patrocinante in cassazione","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"308244","ELENA","BONETTI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","VENETO 2 - P02","PHD in matematica; Professoressa associata di analisi matematica","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"308895","GIULIA","PASTORELLA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 1 - P01","Laurea in lettere e filosofia a Oxford, Dottorato di ricerca alla London School of Economics, Master in politica europea a Sciences Po e London School of Economics; Direttrice delle pubbliche relazioni","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"308921","GIOVANNA","MIELE","LEGA PER SALVINI PREMIER","proporzionale","LAZIO 2 - P02","Laurea in scienze dell'educazione e della formazione; Dipendente pubblico","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"307416","LUCIANO","CANTONE","MOVIMENTO 5 STELLE","proporzionale","SICILIA 2 - P02","Laurea triennale in Scienze e Tecnologie dei Trasporti; Dipendente di azienda privata","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"307790","GIANMAURO","DELL'OLIO","MOVIMENTO 5 STELLE","proporzionale","PUGLIA - P02","Laurea in economia aziendale, Executive MBA (Ross School of business, Michigan University); Commercialista; Consulente aziendale","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
"308781","FEDERICA","ONORI","MOVIMENTO 5 STELLE","proporzionale","EUROPA","DOTTORATO DI RICERCA IN SCIENZE STATISTICHE; ASSISTENTE STATISTICA PRESSO LA COMMISSIONE EUROPEA","MOVIMENTO 5 STELLE (M5S) (18.10.2022","M5S"
